Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
TOYOTA,'4Runner 4WD (Part-Time 4WD)','SUV - STANDARD',4.0,6.0,AS5,X,14.3,11.9,13.2,21.0,308
KIA,RIO,COMPACT,1.6,4.0,AS6,X,8.8,6.5,7.8,36.0,181
GMC,'YUKON DENALI 4WD','SUV - STANDARD',6.2,8.0,A6,Z,16.2,11.4,14.0,20.0,322
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A8,X,12.4,7.8,10.3,27.0,242
MINI,'Cooper 5 Door',SUBCOMPACT,1.5,3.0,M6,Z,8.4,6.3,7.5,38.0,175
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',,8.0,AS10,E,20.3,14.7,17.8,16.0,296
'LAND ROVER','RANGE ROVER SPORT V6 3.0 SC FFV','SUV - STANDARD',3.0,6.0,AS8,Z,14.2,10.2,12.4,23.0,285
MINI,'John Cooper Works Countryman ALL4',MID-SIZE,2.0,4.0,AS8,Z,10.0,7.8,9.0,31.0,210
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6.0,A6,E,18.8,13.1,16.2,17.0,259
GMC,ACADIA,'SUV - STANDARD',3.6,6.0,A6,X,14.3,9.9,12.3,23.0,283
MERCEDES-BENZ,'B 250 4MATIC',MID-SIZE,2.0,4.0,AS7,Z,10.0,7.5,8.9,32.0,206
HYUNDAI,'VELOSTER TURBO',COMPACT,1.6,4.0,M6,X,9.4,7.2,8.4,34.0,200
HYUNDAI,ELANTRA,MID-SIZE,1.8,4.0,M6,X,8.8,6.4,7.7,37.0,177
AUDI,'S8 QUATTRO',MID-SIZE,4.0,8.0,AS8,Z,15.7,9.4,12.8,22.0,300
CADILLAC,'Escalade 4WD','SUV - STANDARD',6.2,8.0,A10,Z,16.6,10.9,14.0,20.0,328
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,,31.0,214
FORD,'F-150 4X4','PICKUP TRUCK - STANDARD',3.0,6.0,AS10,D,11.9,9.4,10.8,26.0,290
